combo;band1;band2;band3;band4;band5;band6;class1;class2;class3;class4;class5;class6;mimo1;mimo2;mimo3;mimo4;mimo5;mimo6;ul1;ul2;ul3;ul4;ul5;ul6;ULmimo1;ULmimo2;ULmimo3;ULmimo4;ULmimo5;ULmimo6;DLmod1;DLmod2;DLmod3;DLmod4;DLmod5;DLmod6;ULmod1;ULmod2;ULmod3;ULmod4;ULmod5;ULmod6;bcs
71A2A-66A4-66A4-2A4;71;66;66;2;;;A;A;A;A;;;2;4;4;4;;;A;;;;;;1;;;;;;;;;;;;256qam;;;;;;
71A2-66A4A-66A4-2A4;71;66;66;2;;;A;A;A;A;;;2;4;4;4;;;;A;;;;;;1;;;;;;;;;;;;256qam;;;;;
71A2-66A4-66A4-2A4A;71;66;66;2;;;A;A;A;A;;;2;4;4;4;;;;;;A;;;;;;1;;;;;;;;;;;;256qam;;;
71A2A-66A4-66A4;71;66;66;;;;A;A;A;;;;2;4;4;;;;A;;;;;;1;;;;;;;;;;;;256qam;;;;;;
71A2-66A4A-66A4;71;66;66;;;;A;A;A;;;;2;4;4;;;;;A;;;;;;1;;;;;;;;;;;;256qam;;;;;
71A2A-66A4-2A4-2A4;71;66;2;2;;;A;A;A;A;;;2;4;4;4;;;A;;;;;;1;;;;;;;;;;;;256qam;;;;;;
71A2-66A4A-2A4-2A4;71;66;2;2;;;A;A;A;A;;;2;4;4;4;;;;A;;;;;;1;;;;;;;;;;;;256qam;;;;;
71A2-66A4-2A4A-2A4;71;66;2;2;;;A;A;A;A;;;2;4;4;4;;;;;A;;;;;;1;;;;;;;;;;;;256qam;;;;
71A2A-66C4-2A4;71;66;2;;;;A;C;A;;;;2;4;4;;;;A;;;;;;1;;;;;;;;;;;;256qam;;;;;;
71A2-66C4A-2A4;71;66;2;;;;A;C;A;;;;2;4;4;;;;;A;;;;;;1;;;;;;;;;;;;256qam;;;;;
71A2-66C4-2A4A;71;66;2;;;;A;C;A;;;;2;4;4;;;;;;A;;;;;;1;;;;;;;;;;;;256qam;;;;
71A2A-66A4-2A4;71;66;2;;;;A;A;A;;;;2;4;4;;;;A;;;;;;1;;;;;;;;;;;;256qam;;;;;;
71A2-66A4A-2A4;71;66;2;;;;A;A;A;;;;2;4;4;;;;;A;;;;;;1;;;;;;;;;;;;256qam;;;;;
71A2-66A4-2A4A;71;66;2;;;;A;A;A;;;;2;4;4;;;;;;A;;;;;;1;;;;;;;;;;;;256qam;;;;
71A2A-66C4;71;66;;;;;A;C;;;;;2;4;;;;;A;;;;;;1;;;;;;;;;;;;256qam;;;;;;
71A2-66C4A;71;66;;;;;A;C;;;;;2;4;;;;;;A;;;;;;1;;;;;;;;;;;;256qam;;;;;
71A2A-66A4;71;66;;;;;A;A;;;;;2;4;;;;;A;;;;;;1;;;;;;;;;;;;256qam;;;;;;
71A2-66A4A;71;66;;;;;A;A;;;;;2;4;;;;;;A;;;;;;1;;;;;;;;;;;;256qam;;;;;
71A2A-48A4-48A4;71;48;48;;;;A;A;A;;;;2;4;4;;;;A;;;;;;1;;;;;;;;;;;;256qam;;;;;;
71A2-48A4A-48A4;71;48;48;;;;A;A;A;;;;2;4;4;;;;;A;;;;;;1;;;;;;;;;;;;256qam;;;;;
71A2A-48C4;71;48;;;;;A;C;;;;;2;4;;;;;A;;;;;;1;;;;;;;;;;;;256qam;;;;;;
71A2-48C4A;71;48;;;;;A;C;;;;;2;4;;;;;;A;;;;;;1;;;;;;;;;;;;256qam;;;;;
71A2A-48A4;71;48;;;;;A;A;;;;;2;4;;;;;A;;;;;;1;;;;;;;;;;;;256qam;;;;;;
71A2-48A4A;71;48;;;;;A;A;;;;;2;4;;;;;;A;;;;;;1;;;;;;;;;;;;256qam;;;;;
71A2A-46C2;71;46;;;;;A;C;;;;;2;2;;;;;A;;;;;;1;;;;;;;;;;;;256qam;;;;;;
71A2A-46A2;71;46;;;;;A;A;;;;;2;2;;;;;A;;;;;;1;;;;;;;;;;;;256qam;;;;;;
71A2A-4A4-4A4;71;4;4;;;;A;A;A;;;;2;4;4;;;;A;;;;;;1;;;;;;;;;;;;256qam;;;;;;
71A2-4A4A-4A4;71;4;4;;;;A;A;A;;;;2;4;4;;;;;A;;;;;;1;;;;;;;;;;;;256qam;;;;;
71A2A-4A4-2A4-2A4;71;4;2;2;;;A;A;A;A;;;2;4;4;4;;;A;;;;;;1;;;;;;;;;;;;256qam;;;;;;
71A2-4A4A-2A4-2A4;71;4;2;2;;;A;A;A;A;;;2;4;4;4;;;;A;;;;;;1;;;;;;;;;;;;256qam;;;;;
71A2-4A4-2A4A-2A4;71;4;2;2;;;A;A;A;A;;;2;4;4;4;;;;;A;;;;;;1;;;;;;;;;;;;256qam;;;;
71A2A-4A4-2A4;71;4;2;;;;A;A;A;;;;2;4;4;;;;A;;;;;;1;;;;;;;;;;;;256qam;;;;;;
71A2-4A4A-2A4;71;4;2;;;;A;A;A;;;;2;4;4;;;;;A;;;;;;1;;;;;;;;;;;;256qam;;;;;
71A2-4A4-2A4A;71;4;2;;;;A;A;A;;;;2;4;4;;;;;;A;;;;;;1;;;;;;;;;;;;256qam;;;;
71A2A-4A4;71;4;;;;;A;A;;;;;2;4;;;;;A;;;;;;1;;;;;;;;;;;;256qam;;;;;;
71A2-4A4A;71;4;;;;;A;A;;;;;2;4;;;;;;A;;;;;;1;;;;;;;;;;;;256qam;;;;;
71A2A-2A4-2A4;71;2;2;;;;A;A;A;;;;2;4;4;;;;A;;;;;;1;;;;;;;;;;;;256qam;;;;;;
71A2-2A4A-2A4;71;2;2;;;;A;A;A;;;;2;4;4;;;;;A;;;;;;1;;;;;;;;;;;;256qam;;;;;
71A2A-2A4;71;2;;;;;A;A;;;;;2;4;;;;;A;;;;;;1;;;;;;;;;;;;256qam;;;;;;
71A2-2A4A;71;2;;;;;A;A;;;;;2;4;;;;;;A;;;;;;1;;;;;;;;;;;;256qam;;;;;
71A2A;71;;;;;;A;;;;;;2;;;;;;A;;;;;;1;;;;;;;;;;;;256qam;;;;;;
66A4A-66A4-66A4-48C2;66;66;66;48;;;A;A;A;C;;;4;4;4;2;;;A;;;;;;1;;;;;;;;;;;;256qam;;;;;;
66A4A-66A4-66A2-48C4;66;66;66;48;;;A;A;A;C;;;4;4;2;4;;;A;;;;;;1;;;;;;;;;;;;256qam;;;;;;
66A2A-66A4-66A4-48C4;66;66;66;48;;;A;A;A;C;;;2;4;4;4;;;A;;;;;;1;;;;;;;;;;;;256qam;;;;;;
66A4-66A4-66A4-48C2A;66;66;66;48;;;A;A;A;C;;;4;4;4;2;;;;;;A;;;;;;1;;;;;;;;;;;;256qam;;;
66A4-66A4-66A2-48C4A;66;66;66;48;;;A;A;A;C;;;4;4;2;4;;;;;;A;;;;;;1;;;;;;;;;;;;256qam;;;
66A4A-66A4-66A4-48A2;66;66;66;48;;;A;A;A;A;;;4;4;4;2;;;A;;;;;;1;;;;;;;;;;;;256qam;;;;;;
66A4A-66A4-66A2-48A4;66;66;66;48;;;A;A;A;A;;;4;4;2;4;;;A;;;;;;1;;;;;;;;;;;;256qam;;;;;;
66A2A-66A4-66A4-48A4;66;66;66;48;;;A;A;A;A;;;2;4;4;4;;;A;;;;;;1;;;;;;;;;;;;256qam;;;;;;
66A4-66A4-66A4-48A2A;66;66;66;48;;;A;A;A;A;;;4;4;4;2;;;;;;A;;;;;;1;;;;;;;;;;;;256qam;;;
